Year,Month,sss,aaa,qqq,www,rrrrr,rrr,Hydroelectric,Coal,Natural Gas,Nuclear,Total,Other
2009,1,23000,172000,66000,74000,355000,19000,23,172,66,74,355,19
2009,2,18000,141000,62000,64000,301000,16000,18,141,62,64,301,16
2009,3,22000,136000,68000,67000,311000,18000,22,136,68,67,311,18
2009,4,26000,126000,61000,59000,290000,17000,26,126,61,59,290,17
2009,5,30000,132000,68000,65000,311000,17000,30,132,68,65,311,17
2009,6,29000,148000,84000,70000,348000,16000,29,148,84,70,348,16
2009,7,23000,158000,102000,73000,373000,16000,23,158,102,73,373,16
2009,8,20000,163000,109000,72000,381000,17000,20,163,109,72,381,17
2009,9,17000,137000,92000,66000,327000,15000,17,137,92,66,327,15
2009,10,20000,140000,73000,58000,307000,17000,20,140,73,58,307,17
2009,11,21000,137000,63000,59000,297000,16000,21,137,63,59,297,16
2009,12,25000,166000,72000,71000,351000,17000,25,166,72,71,351,17
2010,1,22000,173000,74000,73000,361000,19000,22,173,74,73,361,19
2010,2,21000,153000,66000,65000,320000,15000,21,153,66,65,320,15
2010,3,21000,144000,63000,65000,312000,19000,21,144,63,65,312,19
2010,4,19000,127000,65000,58000,288000,19000,19,127,65,58,288,19
2010,5,25000,143000,74000,67000,328000,19000,25,143,74,67,328,19
2010,6,30000,165000,92000,68000,376000,20000,30,165,92,68,376,20
2010,7,25000,180000,115000,72000,410000,19000,25,180,115,72,410,19
2010,8,20000,178000,121000,72000,409000,18000,20,178,121,72,409,18
2010,9,17000,149000,93000,69000,346000,18000,17,149,93,69,346,18
2010,10,18000,132000,78000,63000,308000,17000,18,132,78,63,308,17
2010,11,20000,135000,69000,63000,306000,19000,20,135,69,63,306,19
2010,12,23000,167000,78000,74000,362000,20000,23,167,78,74,362,20
2011,1,26000,171000,74000,73000,363000,20000,26,171,74,73,363,20
2011,2,24000,138000,66000,65000,313000,20000,24,138,66,65,313,20
2011,3,31000,135000,66000,66000,319000,21000,31,135,66,66,319,21
2011,4,31000,124000,70000,55000,302000,22000,31,124,70,55,302,22
2011,5,33000,137000,75000,57000,324000,22000,33,137,75,57,324,22
2011,6,32000,158000,91000,65000,368000,22000,32,158,91,65,368,22
2011,7,31000,177000,120000,72000,419000,19000,31,177,120,72,419,19
2011,8,26000,171000,120000,71000,407000,18000,26,171,120,71,407,18
2011,9,21000,141000,92000,67000,338000,17000,21,141,92,67,338,17
2011,10,20000,127000,79000,63000,309000,20000,20,127,79,63,309,20
2011,11,21000,121000,75000,64000,304000,22000,21,121,75,64,304,22
2011,12,24000,133000,86000,72000,336000,21000,24,133,86,72,336,21
2012,1,23000,129000,91000,72000,340000,24000,23,129,91,72,340,24
2012,2,20000,114000,91000,64000,309000,21000,20,114,91,64,309,21
2012,3,26000,106000,92000,62000,309000,24000,26,106,92,62,309,24
2012,4,26000,96000,95000,56000,295000,22000,26,96,95,56,295,22
2012,5,29000,116000,107000,62000,337000,22000,29,116,107,62,337,22
2012,6,27000,131000,116000,65000,361000,22000,27,131,116,65,361,22
2012,7,26000,160000,139000,69000,415000,20000,26,160,139,69,415,20
2012,8,23000,152000,132000,70000,396000,19000,23,152,132,70,396,19
2012,9,18000,126000,108000,65000,335000,19000,18,126,108,65,335,19
2012,10,17000,121000,92000,60000,312000,23000,17,121,92,60,312,23
2012,11,19000,129000,80000,57000,306000,22000,19,129,80,57,306,22
2012,12,23000,134000,84000,69000,335000,25000,23,134,84,69,335,25
2013,1,25000,138000,89000,71000,349000,26000,25,138,89,71,349,26
2013,2,20000,124000,80000,61000,310000,24000,20,124,80,61,310,24
2013,3,21000,131000,85000,63000,325000,27000,21,131,85,63,325,27
2013,4,25000,112000,78000,57000,299000,28000,25,112,78,57,299,28
2013,5,28000,120000,84000,63000,322000,28000,28,120,84,63,322,28
2013,6,27000,138000,100000,66000,357000,25000,27,138,100,66,357,25
2013,7,27000,153000,121000,71000,395000,23000,27,153,121,71,395,23
2013,8,22000,149000,121000,71000,385000,22000,22,149,121,71,385,22
2013,9,17000,133000,102000,66000,341000,23000,17,133,102,66,341,23
2013,10,17000,121000,89000,63000,315000,25000,17,121,89,63,315,25
2013,11,18000,121000,84000,65000,315000,27000,18,121,84,65,315,27
2013,12,21000,142000,93000,71000,353000,26000,21,142,93,71,353,26
2014,1,22000,157000,91000,73000,377000,34000,22,157,91,73,377,34
2014,2,17000,143000,76000,63000,324000,25000,17,143,76,63,324,25
2014,3,24000,136000,78000,62000,332000,31000,24,136,78,62,332,31
2014,4,25000,109000,77000,56000,298000,30000,25,109,77,56,298,30
2014,5,27000,119000,89000,63000,325000,27000,27,119,89,63,325,27
2014,6,26000,138000,98000,68000,358000,28000,26,138,98,68,358,28
2014,7,24000,150000,115000,72000,386000,25000,24,150,115,72,386,25
2014,8,20000,148000,122000,71000,384000,23000,20,148,122,71,384,23
2014,9,16000,126000,107000,68000,340000,24000,16,126,107,68,340,24
2014,10,17000,111000,98000,62000,315000,26000,17,111,98,62,315,26
2014,11,19000,119000,84000,65000,317000,30000,19,119,84,65,317,30
2014,12,22000,125000,91000,73000,338000,27000,22,125,91,73,338,27
2015,1,24000,132000,102000,74000,360000,28000,24,132,102,74,360,28
2015,2,22000,127000,91000,63000,334000,30000,22,127,91,63,334,30
2015,3,24000,108000,99000,65000,324000,27000,24,108,99,65,324,27
2015,4,22000,89000,93000,60000,294000,30000,22,89,93,60,294,30
2015,5,20000,105000,102000,66000,322000,30000,20,105,102,66,322,30
2015,6,20000,126000,121000,69000,362000,26000,20,126,121,69,362,26
2015,7,21000,139000,141000,71000,400000,28000,21,139,141,71,400,28
2015,8,19000,135000,139000,72000,392000,27000,19,135,139,72,392,27
2015,9,16000,118000,123000,66000,350000,27000,16,118,123,66,350,27
2015,10,17000,97000,110000,61000,312000,28000,17,97,110,61,312,28
2015,11,19000,87000,102000,60000,301000,32000,19,87,102,60,301,32
2015,12,23000,89000,110000,70000,324000,32000,23,89,110,70,324,32
2016,1,26000,113000,110000,73000,353000,31000,26,113,110,73,353,31
2016,2,24000,93000,99000,66000,314000,33000,24,93,99,66,314,33
2016,3,27000,72000,104000,66000,304000,35000,27,72,104,66,304,35
2016,4,26000,72000,99000,63000,293000,33000,26,72,99,63,293,33
2016,5,25000,82000,110000,67000,317000,33000,25,82,110,67,317,33
2016,6,23000,116000,131000,67000,368000,30000,23,116,131,67,368,30
2016,7,21000,136000,152000,70000,412000,32000,21,136,152,70,412,32
2016,8,20000,136000,155000,72000,410000,28000,20,136,155,72,410,28
2016,9,16000,114000,126000,65000,352000,30000,16,114,126,65,352,30
2016,10,17000,99000,103000,61000,313000,33000,17,99,103,61,313,33
2016,11,19000,87000,94000,65000,297000,32000,19,87,94,65,297,32
2016,12,23000,119000,96000,70000,344000,36000,23,119,96,70,344,36
2017,1,28000,116000,91000,73000,341000,33000,28,116,91,73,341,33
2017,2,25000,87000,79000,64000,288000,34000,25,87,79,64,288,34
2017,3,30000,90000,93000,65000,318000,40000,30,90,93,65,318,40
2017,4,29000,82000,86000,57000,294000,40000,29,82,86,57,294,40
2017,5,32000,93000,96000,61000,321000,38000,32,93,96,61,321,38
