Month,Shale Gas,Gas Wells,Coalbed Wells,Oil Wells
Dec 2015,1330,814,97,573
Nov 2015,1283,793,94,561
Oct 2015,1322,820,97,563
Sep 2015,1281,810,96,540
Aug 2015,1321,828,99,494
Jul 2015,1321,831,99,507
Jun 2015,1280,802,98,489
May 2015,1313,834,101,543
Apr 2015,1263,828,98,560
Mar 2015,1300,851,104,569
Feb 2015,1170,754,94,498
Jan 2015,1293,819,104,555
Dec 2014,1258,834,107,571
Nov 2014,1215,811,104,532
Oct 2014,1256,845,107,528
Sep 2014,1177,841,107,501
Aug 2014,1214,884,110,437
Jul 2014,1212,864,110,443
Jun 2014,1133,836,108,483
May 2014,1169,852,112,500
Apr 2014,1130,845,109,501
Mar 2014,1107,881,114,521
Feb 2014,999,789,103,465
Jan 2014,1105,842,115,518
Dec 2013,1026,882,113,505
Nov 2013,1010,864,114,467
Oct 2013,1045,897,120,451
Sep 2013,1005,859,113,438
Aug 2013,1045,911,122,417
Jul 2013,1048,913,122,430
Jun 2013,959,891,118,417
May 2013,998,923,122,446
Apr 2013,959,906,120,461
Mar 2013,976,932,126,470
Feb 2013,886,847,113,424
Jan 2013,978,933,123,478
Dec 2012,928,994,122,480
Nov 2012,907,988,122,454
Oct 2012,945,1030,127,455
Sep 2012,887,1020,123,380
Aug 2012,918,1052,127,277
Jul 2012,911,1067,128,360
Jun 2012,852,1008,126,391
May 2012,875,1056,132,428
Apr 2012,843,1032,128,414
Mar 2012,836,1100,136,452
Feb 2012,780,1032,127,421
Jan 2012,850,1126,140,455
Dec 2011,811,1026,149,558
Nov 2011,787,1000,146,543
Oct 2011,807,1032,151,513
Sep 2011,731,993,147,488
Aug 2011,744,1030,150,446
Jul 2011,729,1039,152,420
Jun 2011,680,1013,145,475
May 2011,700,1058,151,502
Apr 2011,670,1033,145,502
Mar 2011,653,1073,155,530
Feb 2011,562,938,137,466
Jan 2011,627,1056,152,464
Dec 2010,591,1104,159,547
Nov 2010,563,1055,153,506
Oct 2010,572,1103,161,520
Sep 2010,513,1070,160,495
Aug 2010,523,1117,165,430
Jul 2010,517,1103,162,426
Jun 2010,444,1090,157,448
May 2010,455,1144,165,473
Apr 2010,433,1114,159,484
Mar 2010,424,1161,164,528
Feb 2010,376,1052,149,471
Jan 2010,407,1134,163,507
Dec 2009,336,1198,171,491
Nov 2009,325,1178,165,475
Oct 2009,336,1202,171,488
Sep 2009,325,1135,165,464
Aug 2009,336,1225,171,461
Jul 2009,336,1202,171,461
Jun 2009,325,1193,165,457
May 2009,336,1228,171,456
Apr 2009,325,1192,165,465
Mar 2009,336,1253,171,502
Feb 2009,304,1155,154,461
Jan 2009,336,1252,171,493
Dec 2008,243,1310,171,502
Nov 2008,235,1268,166,481
Oct 2008,243,1267,171,472
Sep 2008,235,1099,166,419
Aug 2008,243,1312,171,467
Jul 2008,243,1332,171,459
Jun 2008,235,1267,166,451
May 2008,243,1289,171,450
Apr 2008,235,1245,166,467
Mar 2008,243,1297,171,492
Feb 2008,227,1195,160,461
Jan 2008,243,1252,171,488
Dec 2007,169,1340,170,497
Nov 2007,164,1290,164,481
Oct 2007,169,1292,170,492
Sep 2007,164,1252,164,460
Aug 2007,169,1273,170,465
Jul 2007,169,1262,170,453
Jun 2007,164,1238,164,454
May 2007,169,1274,170,454
Apr 2007,164,1198,164,469
Mar 2007,169,1257,170,499
Feb 2007,153,1109,153,463
Jan 2007,169,1209,170,495
Dec 2006,,1566,109,490
Nov 2006,,1505,107,469
Oct 2006,,1545,111,480
Sep 2006,,1491,107,455
Aug 2006,,1531,111,458
Jul 2006,,1531,110,444
Jun 2006,,1494,107,445
May 2006,,1519,111,438
Apr 2006,,1459,107,450
Mar 2006,,1510,112,485
Feb 2006,,1350,101,444
Jan 2006,,1495,111,481
Dec 2005,,1478,100,518
Nov 2005,,1410,102,492
Oct 2005,,1385,106,486
Sep 2005,,1309,102,458
Aug 2005,,1495,105,493
Jul 2005,,1501,103,483
Jun 2005,,1481,101,492
May 2005,,1520,105,491
Apr 2005,,1477,101,503
Mar 2005,,1537,101,543
Feb 2005,,1374,94,497
Jan 2005,,1505,105,530
Dec 2004,,1491,104,532
Nov 2004,,1457,101,512
Oct 2004,,1494,104,515
Sep 2004,,1425,100,484
Aug 2004,,1513,101,504
Jul 2004,,1528,102,491
Jun 2004,,1479,99,487
May 2004,,1515,102,487
Apr 2004,,1494,100,501
Mar 2004,,1539,103,538
Feb 2004,,1418,96,503
Jan 2004,,1533,103,530
Dec 2003,,1502,16,544
Nov 2003,,1457,15,521
Oct 2003,,1520,16,537
Sep 2003,,1464,16,512
Aug 2003,,1522,16,511
Jul 2003,,1497,15,495
Jun 2003,,1472,16,498
May 2003,,1520,16,497
Apr 2003,,1494,16,513
Mar 2003,,1555,16,549
Feb 2003,,1372,14,509
Jan 2003,,1507,16,550
Dec 2002,,1509,,544
Nov 2002,,1456,,523
Oct 2002,,1457,,519
Sep 2002,,1424,,499
Aug 2002,,1516,,502
Jul 2002,,1539,,498
Jun 2002,,1473,,496
May 2002,,1531,,497
Apr 2002,,1474,,504
Mar 2002,,1526,,536
Feb 2002,,1368,,491
Jan 2002,,1520,,538
Dec 2001,,1520,,555
Nov 2001,,1466,,540
Oct 2001,,1543,,554
Sep 2001,,1488,,522
Aug 2001,,1537,,520
Jul 2001,,1528,,514
Jun 2001,,1479,,514
May 2001,,1553,,517
Apr 2001,,1502,,526
Mar 2001,,1563,,553
Feb 2001,,1404,,506
Jan 2001,,1546,,551
Dec 2000,,1524,,555
Nov 2000,,1459,,541
Oct 2000,,1537,,560
Sep 2000,,1458,,529
Aug 2000,,1504,,534
Jul 2000,,1494,,523
Jun 2000,,1448,,516
May 2000,,1483,,519
Apr 2000,,1431,,527
Mar 2000,,1509,,566
Feb 2000,,1386,,522
Jan 2000,,1501,,555
Dec 1999,,1499,,542
Nov 1999,,1457,,526
Oct 1999,,1481,,537
Sep 1999,,1429,,508
Aug 1999,,1477,,509
Jul 1999,,1480,,503
Jun 1999,,1441,,497
May 1999,,1471,,504
Apr 1999,,1449,,511
