Month,U.S. Natural Gas Pipeline Exports to Canada,U.S. Natural Gas Pipeline Exports to Mexico,U.S. LNG Exports
Nov 2017,2.99,3.29,4.47
Oct 2017,2.78,3.28,4.02
Sep 2017,2.88,3.29,3.88
Aug 2017,2.84,3.27,3.88
Jul 2017,2.9,3.22,4.26
Jun 2017,3.02,3.13,4.61
May 2017,3.16,3.2,4.8
Apr 2017,3.19,3.27,5.16
Mar 2017,3.01,2.93,4.47
Feb 2017,3.22,3.24,5.99
Jan 2017,3.85,3.66,6.44
Dec 2016,3.82,3.51,4.68
Nov 2016,2.71,2.75,4.58
Oct 2016,2.72,3.16,3.65
Sep 2016,2.83,3.06,5.11
Aug 2016,2.65,2.92,5.13
Jul 2016,2.73,2.8,5.63
Jun 2016,2.23,2.46,4.72
May 2016,1.98,2.06,4.21
Apr 2016,2.07,2.03,3.96
Mar 2016,1.99,1.88,4.01
Feb 2016,2.34,2.2,3.59
Jan 2016,2.66,2.45,10.74
Dec 2015,2.3,2.3,15.95
Nov 2015,2.5,2.26,16.67
Oct 2015,2.76,2.61,6.53
Sep 2015,2.97,2.77,7.17
Aug 2015,2.97,3,7.91
Jul 2015,2.84,3.01,8.1
Jun 2015,2.85,2.94,7.82
May 2015,2.85,2.86,7.53
Apr 2015,2.91,2.77,10.53
Mar 2015,3.71,3.03,11.1
Feb 2015,4.39,3.1,12.87
Jan 2015,3.63,3.38,17.39
Dec 2014,4.28,4.19,13.5
Nov 2014,4.64,4.23,12.17
Oct 2014,3.96,4.2,15.1
Sep 2014,3.98,4.25,15.74
Aug 2014,3.94,4.19,16.01
Jul 2014,4.37,4.57,16.01
Jun 2014,4.81,4.81,12.58
May 2014,4.78,4.86,15.78
Apr 2014,5.04,4.81,13.23
Mar 2014,10.13,5.16,14.31
Feb 2014,11.42,6.16,15.49
Jan 2014,6.49,4.76,13.7
Dec 2013,4.65,4.39,12.69
Nov 2013,3.98,3.85,13.45
Oct 2013,3.94,3.8,13.09
Sep 2013,3.94,3.81,13.53
Aug 2013,3.83,3.65,13.25
Jul 2013,4.04,3.82,12.89
Jun 2013,4.29,4.13,13.38
May 2013,4.46,4.26,12.84
Apr 2013,4.53,4.3,11.36
Mar 2013,4.15,3.87,10.02
Feb 2013,4.04,3.5,10.85
Jan 2013,4.1,3.54,10.11
Dec 2012,3.99,3.66,11.76
Nov 2012,4.14,3.62,8.86
Oct 2012,3.55,3.35,11.57
Sep 2012,3.08,2.89,8.4
Aug 2012,3.18,3.09,15.15
Jul 2012,3.11,2.99,8.49
Jun 2012,2.67,2.62,17.55
May 2012,2.53,2.46,16.1
Apr 2012,2.32,2.2,8.54
Mar 2012,2.66,2.44,10.67
Feb 2012,3.02,2.76,11.3
Jan 2012,3.34,3.07,11.83
Dec 2011,3.72,3.74,12.83
Nov 2011,3.94,3.5,15.29
Oct 2011,4.02,3.76,12.54
Sep 2011,4.26,4.06,12.76
Aug 2011,4.59,4.39,11.6
Jul 2011,4.72,4.52,12.72
Jun 2011,4.82,4.55,11.6
May 2011,4.74,4.4,8.62
Apr 2011,4.67,4.34,8.25
Mar 2011,4.45,3.98,10.28
Feb 2011,4.67,4.36,9.71
Jan 2011,4.84,4.52,8.2
Dec 2010,4.68,4.34,8.5
Nov 2010,4.21,3.8,8.18
Oct 2010,4.09,3.74,9.04
Sep 2010,4.23,4.01,9.85
Aug 2010,4.85,4.47,13.19
Jul 2010,5.02,4.71,12.83
Jun 2010,4.83,4.72,8.27
May 2010,4.64,4.26,11.94
Apr 2010,4.41,4.24,12.21
Mar 2010,5,4.78,12.36
Feb 2010,5.79,5.61,7.97
Jan 2010,6.26,6.17,11.68
Dec 2009,5.46,5.28,9.18
Nov 2009,4.52,4.13,10.69
Oct 2009,4.21,3.97,10.97
Sep 2009,3.11,3.1,10.2
Aug 2009,3.57,3.31,8.36
Jul 2009,3.87,3.59,8
Jun 2009,4.01,3.5,7.65
May 2009,3.88,3.57,7.2
Apr 2009,3.97,3.36,7.33
Mar 2009,4.48,3.42,6.42
Feb 2009,5.24,3.88,6
Jan 2009,6.31,4.9,7.54
Dec 2008,6.91,5.56,8.27
Nov 2008,6.68,5.02,8.87
Oct 2008,7.46,5.16,8.72
Sep 2008,8.31,6.48,8.56
Aug 2008,9.69,7.99,7.97
Jul 2008,12.87,11.47,7.49
Jun 2008,12.09,11.65,7.38
May 2008,11.51,10.52,7.21
Apr 2008,10.24,9.76,7.09
Mar 2008,9.56,9.06,7.09
Feb 2008,8.54,8.19,6.9
Jan 2008,7.7,7.78,6.6
Dec 2007,7.64,6.76,6.28
Nov 2007,7.45,6.24,6.33
Oct 2007,6.66,6.22,9.34
Sep 2007,5.78,5.84,6.14
Aug 2007,6.06,6.14,6.06
Jul 2007,6.81,6.12,5.87
Jun 2007,7.68,7.11,5.73
May 2007,7.74,7.34,5.65
Apr 2007,7.73,7.11,5.86
Mar 2007,7.61,6.91,5.85
Feb 2007,7.56,7.35,5.91
Jan 2007,6.43,6.95,6.08
Dec 2006,7.91,7.02,6.44
Nov 2006,7.48,6.78,6.45
Oct 2006,4.72,5.31,6.28
Sep 2006,6.19,5.5,6.22
Aug 2006,6.83,7.15,6.17
Jul 2006,6.03,5.99,5.95
Jun 2006,6.03,5.99,5.94
May 2006,7.16,6.2,5.95
Apr 2006,7.05,6.73,5.76
Mar 2006,7.18,6.46,5.69
Feb 2006,8.36,7.19,5.81
Jan 2006,10.74,8.48,5.9
Dec 2005,11.13,11.15,6.68
Nov 2005,12.23,9.45,6.4
Oct 2005,12.21,11.52,6.24
Sep 2005,10.25,10.26,5.97
Aug 2005,7.85,8.36,6.08
Jul 2005,7.18,7.33,5.89
Jun 2005,6.48,6.79,5.49
May 2005,7.2,6.46,5.38
Apr 2005,7.46,7,5.19
Mar 2005,6.72,6.53,5.26
Feb 2005,6.45,5.95,5.4
Jan 2005,6.44,5.97,5.27
Dec 2004,7.83,6.75,5.4
Nov 2004,7.79,6.66,5.32
Oct 2004,5.95,5.75,5.24
Sep 2004,6.07,5.03,5.24
Aug 2004,6.26,5.75,5.05
Jul 2004,6.42,6.05,4.98
Jun 2004,6.88,6.38,4.83
May 2004,6.2,6.14,4.89
Apr 2004,5.74,5.52,4.79
Mar 2004,5.51,5.19,4.6
Feb 2004,6.12,5.36,4.53
Jan 2004,6.44,5.86,4.42
Dec 2003,5.25,5.55,4.51
Nov 2003,4.91,4.47,4.45
Oct 2003,4.8,4.58,4.4
Sep 2003,5.2,4.91,4.4
Aug 2003,4.88,4.99,4.43
Jul 2003,5.62,5.3,4.67
Jun 2003,6.16,5.95,4.76
May 2003,5.55,5.6,4.62
Apr 2003,5.48,5.16,4.44
Mar 2003,9.3,8.44,4.3
Feb 2003,7.58,5.78,4.44
Jan 2003,6.54,5.03,4.43
Dec 2002,4.33,4.26,4.34
Nov 2002,4.34,4.03,4.3
Oct 2002,3.78,3.58,4.28
Sep 2002,3.23,3.25,4.3
Aug 2002,2.59,2.92,4.26
Jul 2002,3.18,3.21,4.09
Jun 2002,3.26,3.14,3.85
May 2002,3.34,3.27,3.79
Apr 2002,3.38,3.52,3.68
Mar 2002,2.42,2.7,3.74
Feb 2002,2.15,2.25,4.04
Jan 2002,2.61,2.66,4.27
Dec 2001,2.51,2.55,4.3
Nov 2001,3.09,2.98,4.3
Oct 2001,2.22,2.29,4.41
Sep 2001,2.46,2.45,4.4
Aug 2001,3.19,3.32,4.3
Jul 2001,3.38,3.54,4.28
Jun 2001,4.05,5.27,4.29
May 2001,5.01,6.88,4.23
Apr 2001,5.66,7.1,4.26
Mar 2001,4.51,6.22,4.71
Feb 2001,5.39,7.06,4.74
Jan 2001,6.84,10.34,4.69
